source,source_record_id,source_locator,analysis_include,analysis_year,analysis_year_basis,scheme,institution,award_value,status,title,summary,keywords,for_text,broad_area,supplementary_text,mls_status,molecular_life_science,mls_review_required,mls_for_hits,mls_explicit_hits,mls_review_hits,mls_clinical_context_hits,mls_false_context_hits,mls_reason,ai_status,ai,ai_candidate,ai_review_required,ai_for_hits,ai_explicit_hits,ai_review_hits,ai_reason,ai_mls,review_status,manual_ai_decision,manual_mls_decision,review_notes
ARC,DE220100064,DE220100064,True,2022,funding commencement year,Discovery Early Career Researcher Award,Monash University,448919.0,Active,Socio-Legal Implications of Virtual Autopsies in Coronial Investigations,"Socio-Legal Implications of Virtual Autopsies in Coronial Investigations. This project aims to assess how forensic imaging technology impacts coronial investigations in Australia. It expects to generate new knowledge on the implementation of post-mortem computed tomography in coronial investigations using a socio-legal approach. Expected outcomes include a framework for understanding how the technology has been developed in coronial investigations, and the social and legal effects of using virtual autopsies as a supplement or replacement of post-mortem dissections. This should provide significant benefits for stakeholders of the coronial process, through deeper understanding of how new technologies can be best implemented to improve the efficiency, accuracy and cost-effectiveness of coronial investigations.",,1801 - Law,,"This project will be the first in Australia to study how forensic imaging technology impacts coronial investigations. Virtual autopsies allow for efficient, economical and accurate coronial investigations that minimise the use of invasive autopsies, which enables coroners to meet increased demands from families of the deceased who oppose post-mortem dissections due to religious or cultural beliefs. While Victoria is an early adopter of conducting whole-body post-mortem computed tomography for all deaths reported to the coroner, this practice has not been replicated across every state and territory of Australia. Through a report for the State Coroners of each state and territory in Australia, this project will provide a framework for understanding the social and legal effects of implementing pmCT in coronial investigations. The report will provide guidance on how Australian coroners can use pmCT to fulfil their statutory responsibilities under coronial law, make recommendations for reducing the occurrence of preventable deaths and carry out the administration of coronial justice.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100071,DE220100071,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Newcastle,368000.0,Closed,Understanding intergenerational financial assistance with home ownership,"Understanding intergenerational financial assistance with home ownership. Rates of intergenerational financial support with first home ownership have skyrocketed over the last decade. This project aims to understand how this support is negotiated within families. It will use innovative qualitative methods to identify how this form of financial assistance impacts upon families over time, and from the perspectives of multiple family members. Expected outcomes include a new, systematic framework to recognise how families shape young adults’ pathways into home ownership and to develop evidence-based financial policy. This should provide significant benefits including greater protection for both donors and recipients of financial assistance when purchasing property. ",,1608 - Sociology,,"This project will generate crucial evidence to better understand the changing role of families in young adults’ pathways into home ownership in Australia. Over the last 10 years parents have increasingly stepped in to financially assist their adult children with buying their first home, collectively representing the country’s fifth largest home loan lender in 2020. However, little is known about what happens to both parties after the money changes hands. This project provides an in-depth account of how the provision and receipt of financial assistance with home ownership impacts upon both donors and recipients following the transfer. It will benefit the nation by identifying key vulnerabilities and risk factors and will aid in developing evidence-based policy to safeguard the financial wellbeing of the growing number of families involved in this practice.   ",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100073,DE220100073,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Melbourne,447768.0,Active,Learning to think and talk about events in the APY lands,Learning to think and talk about events in the APY lands. This project aims to investigate differences between languages in how events are described. Do these linguistic differences relate to differences in how people think? And how does the relationship between the way people think and talk about events develop throughout childhood? The project focuses on the Indigenous languages Pitjantjatjara and Yankunytjatjara with a comparison to English. It expects to significantly improve our understanding of event cognition as well as how children learn Pitjantjatjara and Yankunytjatjara. The project also intends to provide valuable materials for use in the Anangu Pitjantjatjara Yankunytjatjara (APY) lands to assist in maintaining their traditional languages while also improving access to English.,,2004 - Linguistics,,"This project contributes to Australia’s national interest in the areas of cultural heritage, education, and wellbeing. It will support the maintenance and use of Indigenous languages which has been connected with increased wellbeing and strong identity among Indigenous Australians, especially for young people. Research partnerships within the project will provide mentoring, training and employment for emerging researchers in the Anangu Pitjantjatjara Yankunytjatjara (APY) lands to aid them in ensuring their languages remain strong for the next generation. The project will significantly improve understandings of how Pitjantjatjara and Yankunytjatjara think and talk about events in stories, with explicit comparisons to English. Story-based learning and assessment are major components in education and resources will be developed for English, Pitjantjatjara and Yankunytjatjara. These will aid initiatives to close the gap in education outcomes, especially within the SA Department for Education’s target to move towards a bilingual education model as a key focus of their 2019-2029 Aboriginal Education Strategy.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100079,DE220100079,True,2022,funding commencement year,Discovery Early Career Researcher Award,Griffith University,423582.0,Active,Redefining success in marine ecosystem restoration,"Redefining success in marine ecosystem restoration. This project aims to improve evaluations of marine ecosystem restoration through the measurement of key animal health metrics, and automated monitoring using artificial intelligence. This project expects to generate unique knowledge about why ecosystem restoration succeeds or fails, and improve our understanding of how animal data can better inform future restoration projects. The expected outcomes will enhance our capacity to use new and efficient techniques to monitor and evaluate ecosystem restoration in a more ecologically valid way. Benefits include more effective ecosystem restoration, wildlife conservation, and the enhancement of ecosystem services including sustainable fishing and eco-tourism.",,0502 - Environmental Science and Management,,"Restoration of degraded ecosystems is essential for a thriving planet. Commonwealth and state governments in Australia invest significant funding into the restoration of ecosystems, including the $100 million Environment Restoration Fund. However, restoration often fails, wasting valuable resources and missing prime opportunities to enhance biodiversity. This project can inform best practice to achieve the intended benefits of ecosystem restoration, contributing to the conservation of Australia’s unique wildlife, and supporting industries that rely on healthy, productive ecosystems such as fisheries and eco-tourism. This project will contribute to the Science and Research Priorities of Environmental Change and Soil and Water, and the National Marine Science Plan’s critical challenge of Biodiversity Conservation, by improving our capacity to respond and adapt to the impacts of environmental change, and developing solutions to maximise benefits from restoration efforts. Ultimately, the project will benefit Australia's environment, economy, and our society.",review,False,True,,,ecology,,,review:ecology,yes,True,True,False,,artificial intelligence,,explicit:artificial intelligence,False,MLS review required,,,
ARC,DE220100084,DE220100084,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Newcastle,447148.0,Active,Creative ageing through transformative engagement with music,"Creative ageing through transformative engagement with music. This project aims to evaluate how participation in music activities can foster personal growth, self-efficacy and purpose amongst older adults. Using a novel hybrid theoretical framework, it will generate new knowledge about what elements in music activities deliver such transformative effects and how to widen access. Expected outcomes include a blueprint for transformative music activities, and resources to design them, as well as guidelines and an online, interactive map to make them more widely accessible to our ageing population. Benefits will be improved wellbeing and quality of life for older adults and carers, guidance for music groups, and resources and recommendations for aged-care providers to implement music activities.",,1904 - Performing Arts and Creative Writing,,"This research will advance Australia’s national interest by contributing knowledge specific to Australia’s older populations and their access to opportunities for a positive ageing experience through creativity linked to learning. The project will document information on music activities nationally and identify what constitutes best practice. Through an extensive survey, it will produce a digital map, using innovative time/location software, to disseminate information on the availability of music activities nationally, a valuable resource for older adults and care providers. In addition, the research will identify elements and practices in music learning that are transformative for participants, promoting positive change. It aligns with the Australian Government’s research priority 9 ‘Health’ for preventative strategies to improve physical and mental well-being for older adults through discovering how engagement with music promotes positive changes and recommending strategies to widen accessibility for demographics including low socioeconomic status communities, ethnic groups and frailer adults.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100087,DE220100087,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Sydney,452285.0,Active,Sally disagrees with you! A unified theory for human sociality ,"Sally disagrees with you! A unified theory for human sociality . As fundamentally social beings, we usually keep company with the people that think like ourselves: Our friends and loved ones. This project aims to deliver a unifying theory of human sociality that can account for why the human brain may want to avoid conflict between own and others' ways of thinking. This will be achieved via online behavioural experiments, a highly innovative functional magnetic resonance imaging (fMRI) design, and philosophical approaches. The project expects to generate knowledge on the social neuroscience of political/religious group behaviour, shedding light on the brain mechanisms that underlie social cognition. It will benefit our approach to social problems like discrimination, fundamentalism and extremism.",,1701 - Psychology,,"This project addresses an important gap in knowledge regarding the neuroscience of social behaviour, namely the brain areas involved in the processing of others thinking differently from oneself. Using a groundbreaking new experimental technique by applying brain imaging to establish this key aspect of social behaviour, the project will provide insights into the neural mechanisms underlying the processing of others having a different ideological belief system than oneself. The project will result in a better understanding of how distinct groups in society, like political and religious opponents, come to being, with the outcomes having specific benefit in the understanding and resolution of social and cultural issues such as discrimination, religious and political fundamentalism, radicalisation and extremism, and criminal accountability in Australia and the wider world. The findings will also allow the evaluation of ethical conundrums related to intergroup processes, which will underpin the development of tools on how to counteract religious and political radicalisation in societies and online spaces.  ",review,False,True,,,neuroscience,,,review:neuroscience,no,False,False,False,,,,,False,MLS review required,,,
ARC,DE220100094,DE220100094,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Melbourne,430000.0,Active,A new 3D data model to integrate underground land information in Australia,"A new 3D data model to integrate underground land information in Australia. This project aims to develop a novel 3D digital approach to managing subterranean ownership spaces by referencing these spaces to the physical reality of the underground environment. This project expects to generate new knowledge in the area of underground land administration using new 3D data modelling techniques. Expected outcomes of this project include a new underground 3D data model to improve management and communication of physical location and ownership extent of Australia’s underground assets. This should provide significant benefits such as protecting underground assets, decreasing the risk of damaging utilities, avoiding unnecessary disruptions and delays when planning, constructing and managing underground infrastructure. ",,0909 - Geomatic Engineering,,"With rapid urbanisation necessitating optimal land use both above and below ground, Australia, and particularly Victoria, has invested in significant development of underground urban spaces, with projects such as West Gate Tunnel, the Victorian Desalination Project, and M4-M5 Link Tunnels. An integrated 3D digital environment that can curate and communicate the physical location and legal ownership of underground assets will provide significant benefits by reducing legal disputes (e.g. registration; boundary disputes), economic damages (e.g. project delay; utility relocation) and social issues (e.g. ownership rights) when planning, constructing and managing underground assets. This project’s proposed 3D underground data model presents a significant shift from current fragmented 2D representations and the opportunity to modernise land administration in Australia.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100096,DE220100096,True,2022,funding commencement year,Discovery Early Career Researcher Award,Flinders University,436032.0,Active,Understanding the relationship between the social environment and cognition,"Understanding the relationship between the social environment and cognition. The predominant theory for the evolution of intelligence, the social intelligence hypothesis (SIH), posits that within-group social interactions drive cognitive evolution. But the SIH overlooks a major component of social life: interactions with outsiders of the same species. Using a unique combination of meta-analytical and experimental approaches, the DECRA project will test the predictions of an expanded SIH, incorporating the “Napoleonic” cognitive challenges posed by outsiders. The expected outcome is to gain a new understanding of which factors govern cognitive evolution – one of the longest-running debates in evolutionary biology.",,0602 - Ecology,,"The predominant theory for the evolution of intelligence, suggests that the cognitive demands of living in complex social environments are the main drivers of cognitive evolution. However, this theory overlooks a major component of social life: interactions with outsiders of the same species. This project will test the cognitive challenges posed by outsiders and will deliver a new understanding of the factors that govern cognitive evolution. The project will show how social living influences intelligence and will reveal new insights into the evolution of human intelligence and its relationship with the emergence of different societies, from hunter-gatherers to complex multi-level social groups. This will be of profound importance to understanding our place in evolution, and will be of cultural benefit to the Australian and international community by revealing the origins of our own intelligence. The project will provide insights into the social dynamics of human populations and deliver a new understanding of the capacity for cognitive development.",yes,True,False,ecology,,evolution,,,FoR:ecology; review:evolution,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100100,DE220100100,True,2022,funding commencement year,Discovery Early Career Researcher Award,The University of Queensland,440524.0,Closed,The Role of Emotions in Marketing Cultured Meat,"The Role of Emotions in Marketing Cultured Meat. Traditional agriculture has a strong environmental impact. One solution to reduce this impact is cultured meat, which is meat created via a cell culture, rather than from a slaughtered animal. This project aims to examine the role of emotions in promoting consumer acceptance, which is the greatest barrier facing the commercialisation of cultured meat. The expected outcome is insight into factors influencing the acceptance of cultured meat, allowing development of effective marketing communication strategies. This should provide benefits including reduced environmental and ethical impact of conventional meat and improvement to Australian agribusiness. Similar strategies could also potentially be applied to other emerging food technologies.",,1505 - Marketing,,"Emerging food technologies are on the rise in Australia because of climate change and the need to reduce environmental impact of agriculture. One emerging innovation in this area has been cultured meat, which is meat produced via a cell culture, rather than coming from an animal raised for slaughter. The successful commercialisation of cultured meat in the Australian market would potentially help address multiple environmental issues (78 -96% lower emissions, 99% lower land use, 82 -96% lower water use) and ethical issues (treatment of animals) related to conventional meat production. However, consumer acceptance of cultured meat has been noted as the biggest barrier to the marketing and commercialisation of cultured meat. The project aims to examine the role of emotions in promoting consumer acceptance of cultured meat. The resulting knowledge should benefit Australian agribusiness and associated food technology companies investing in cultured meat and associated production technologies through providing assurance that such technologies will be successfully marketed to and adopted by consumers.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
ARC,DE220100103,DE220100103,True,2022,funding commencement year,Discovery Early Career Researcher Award,Deakin University,454582.0,Active,Striking voices: Australian school-aged students' climate justice activism,"Striking voices: Australian school-aged students' climate justice activism. Mass student-led climate justice activism emerged as a transnational phenomenon in 2018.This project aims to foster understanding of this phenomenon, through exploring how Australian young people are taking action on climate change, the supports for their activism, and educational conditions of and responses to their climate concerns, using ethnographic and participatory methods. Expected outcomes include online student-curated accounts of social movement participation, and a co-produced teaching and learning framework for schools. Anticipated benefits include a greater understanding of emerging patterns of political engagement, and the development of educational capacity to engage young people and face urgent environmental challenges.",,1608 - Sociology,,"This project will foster a timely understanding of school student climate activism in Australia, by identifying conditions for young people’s engagement with climate issues, exploring patterns of young people’s political participation, and analysing schools’ responses to their climate concerns. By involving young people and adults across formal and informal spaces of education this project will contribute to intergenerational discussion of civic-social approaches to the climate crisis. Outcomes, including a student-curated website and a teaching and learning framework developed with educational stakeholders, will advance knowledge of how young Australians contribute to climate action, how they learn and teach others, and how schools can develop educational capacity, together with young people, to meet contemporary environmental challenges. This project will benefit Australia by documenting how young people innovate to create strategies and solutions for environmental urgencies – ultimately contributing to strengthening Australia’s collective social, cultural and environmental futures.",no,False,False,,,,,,,no,False,False,False,,,,,False,auto_classified,,,
